金额,分类,日期,备注
35.50,餐饮美食 - 外卖外送,2026-07-04,午餐外卖
18.00,餐饮美食 - 日常三餐,2026-07-04,早餐
68.00,餐饮美食 - 聚餐请客,2026-07-03,和朋友AA
12.00,餐饮美食 - 零食饮品,2026-07-03,超市买薯片可乐
45.00,餐饮美食 - 水果生鲜,2026-07-02,水果店
25.00,餐饮美食 - 烟酒茶叶,2026-07-01,便利店
28.50,交通出行 - 打车网约车,2026-07-04,上班打车
6.00,交通出行 - 公交地铁,2026-07-04,地铁通勤
3.50,交通出行 - 共享单车,2026-07-03,骑车回家
350.00,交通出行 - 加油充电,2026-07-02,加满一箱油
15.00,交通出行 - 停车过路费,2026-07-01,商场停车
680.00,交通出行 - 长途出行,2026-06-30,回家的高铁票
2500.00,住房居家 - 房租,2026-07-01,7月房租
350.00,住房居家 - 水电燃气,2026-07-03,电费+燃气费
120.00,住房居家 - 物业费,2026-07-02,7月物业费
89.00,住房居家 - 家居日用,2026-07-04,洗衣液纸巾等
99.00,数字生活 - 手机话费,2026-07-01,7月套餐费
59.00,数字生活 - 宽带网络,2026-07-01,宽带月费
15.00,数字生活 - 视频会员,2026-07-02,月度会员续费
199.00,数字生活 - 软件订阅,2026-07-01,某工具年费
6.00,数字生活 - 云存储,2026-07-01,iCloud月费
299.00,服饰美妆 - 衣服鞋帽,2026-07-02,买了一件T恤
159.00,服饰美妆 - 护肤彩妆,2026-07-01,防晒霜+洗面奶
128.00,医疗健康 - 门诊购药,2026-07-03,感冒药
58.00,医疗健康 - 健身运动,2026-07-04,健身房日卡
88.00,学习教育 - 书籍文具,2026-07-02,买了本编程书
1999.00,学习教育 - 培训进修,2026-06-28,线上课程
168.00,休闲娱乐 - 电影演出,2026-07-03,看电影+爆米花
328.00,休闲娱乐 - 旅游度假,2026-06-25,周末周边游门票
45.00,休闲娱乐 - KTV桌游,2026-07-01,桌游店
88.00,休闲娱乐 - 宠物花费,2026-07-04,猫粮
200.00,休闲娱乐 - 游戏充值,2026-07-02,游戏皮肤
500.00,人情往来 - 孝敬父母,2026-07-01,给爸妈买礼物
200.00,人情往来 - 红包礼金,2026-07-03,同事结婚红包
150.00,人情往来 - 请客送礼,2026-07-02,请同事喝咖啡
50.00,人情往来 - 捐赠公益,2026-07-01,公益捐款
35.00,工作事业 - 办公用品,2026-07-03,笔记本和笔
280.00,工作事业 - 出差住宿,2026-06-29,出差一晚酒店
1599.00,购物消费 - 数码电子,2026-06-20,蓝牙耳机
399.00,购物消费 - 家用电器,2026-06-24,电饭煲
56.00,购物消费 - 个护日用,2026-07-02,洗发水沐浴露
128.00,购物消费 - 保健食品,2026-07-01,蛋白粉
12.00,购物消费 - 快递物流,2026-07-04,退货运费
20.00,其他支出 - 证件补办,2026-07-02,补办身份证工本费
50.00,其他支出 - 罚款缴费,2026-06-30,违章停车罚款
30.00,其他支出 - 其他临时,2026-07-03,配钥匙
